month,year,grain height,deer,hunters,precipitation,temperature,,Month in Sim,Grain Height (inches),Deer,Hunters,Precipitation,Temp (celsius)
0,2021,11.76593208,3,1,9.89135,46.67187881,,0,29.88546748,3,1,9.89135,8.151043783
1,2021,16.96762848,4,2,12.29641,37.99628448,,1,43.09777634,4,2,12.29641,3.331269156
2,2021,13.36083603,3,2,12.50698,57.51512146,,2,33.93652352,3,2,12.50698,14.17506748
3,2021,10.36086941,4,2,13.48409,75.1717453,,3,26.3166083,4,2,13.48409,23.98430294
4,2021,6.36153984,3,2,10.24663,70.82843018,,4,16.15831119,3,2,10.24663,21.5713501
5,2021,3.36154032,4,2,7.52697,80.49882507,,5,8.538312413,4,2,7.52697,26.94379171
6,2021,0,1,2,5.62229,76.02681732,,6,0,1,2,5.62229,24.45934296
7,2021,0,0,1,3.89876,69.69893646,,7,0,0,1,3.89876,20.94385359
8,2021,0.02540959,0,0,0.2396,62.17475891,,8,0.064540359,0,0,0.2396,16.76375495
9,2021,0.04106509,0,0,2.6406,64.10923004,,9,0.104305329,0,0,2.6406,17.83846113
10,2021,6.276824,0,0,4.0465,38.88274765,,10,15.94313296,0,0,4.0465,3.823748694
11,2021,13.27681923,1,0,7.29719,35.77787781,,11,33.72312084,1,0,7.29719,2.098821006
0,2022,15.68758774,2,1,8.01015,49.64723969,,12,39.84647286,2,1,8.01015,9.80402205
1,2022,14.45042992,3,1,12.95817,55.42861176,,13,36.704092,3,1,12.95817,13.01589542
2,2022,11.50830555,3,2,14.44527,62.02063751,,14,29.2310961,3,2,14.44527,16.67813195
3,2022,8.50852776,4,2,12.97728,72.43669128,,15,21.61166051,4,2,12.97728,22.46482849
4,2022,4.50852776,3,2,9.47993,83.60726929,,16,11.45166051,3,2,9.47993,28.67070516
5,2022,1.50917339,4,2,10.12855,70.89058685,,17,3.833300411,4,2,10.12855,21.60588158
6,2022,0,1,2,5.84391,79.5012207,,18,0,1,2,5.84391,26.38956706
7,2022,0,0,1,4.37084,66.85555267,,19,0,0,1,4.37084,19.36419593
8,2022,0.00390595,0,0,1.72118,66.56518555,,20,0.009921113,0,0,1.72118,19.20288086
9,2022,0.23952195,0,0,1.72445,57.19863129,,21,0.608385753,0,0,1.72445,13.99923961
10,2022,0.75152302,0,0,3.24289,55.52439499,,22,1.908868471,0,0,3.24289,13.06910833
11,2022,7.52818537,0,0,6.43981,36.03779984,,23,19.12159084,0,0,6.43981,2.243222133
0,2023,14.06399822,1,0,10.41654,45.6408577,,24,35.72255548,1,0,10.41654,7.578254278
1,2023,14.31612301,2,1,12.29696,53.85504532,,25,36.36295245,2,1,12.29696,12.14169184
2,2023,12.9538517,2,1,12.71426,56.04180527,,26,32.90278332,2,1,12.71426,13.35655848
3,2023,10.95602036,3,1,12.57884,68.74809265,,27,27.82829171,3,1,12.57884,20.41560703
4,2023,7.95602036,3,2,10.77915,83.07911682,,28,20.20829171,3,2,10.77915,28.37728712
5,2023,4.9561162,4,2,10.468,73.83598328,,29,12.58853515,4,2,10.468,23.24221293
6,2023,0.95611811,2,2,4.45605,78.9256897,,30,2.428539999,2,2,4.45605,26.06982761
7,2023,0,1,2,2.07503,65.64213562,,31,0,1,2,2.07503,18.69007534
8,2023,0,0,1,0.9118,67.0908432,,32,0,0,1,0.9118,19.49491289
9,2023,0.01031125,0,0,0.5439,64.24369049,,33,0.026190575,0,0,0.5439,17.91316138
10,2023,3.57113194,0,0,2.37268,45.87769699,,34,9.070675128,0,0,2.37268,7.709831661
11,2023,9.40941811,1,0,3.48853,40.93779373,,35,23.899922,1,0,3.48853,4.965440961
0,2024,15.9127388,2,1,9.29595,44.20621109,,36,40.41835655,2,1,9.29595,6.781228383
1,2024,18.06430435,3,1,11.54442,48.6595993,,37,45.88333305,3,1,11.54442,9.255332944
2,2024,16.14903641,3,2,13.20843,54.18785477,,38,41.01855248,3,2,13.20843,12.32658598
3,2024,13.16968346,4,2,13.57075,64.39238739,,39,33.45099599,4,2,13.57075,17.99577077
4,2024,9.17088699,3,2,11.67478,69.81934357,,40,23.29405295,3,2,11.67478,21.01074643
5,2024,6.17088699,4,2,8.3207,87.91714478,,41,15.67405295,4,2,8.3207,31.06508043
6,2024,2.17088699,3,2,5.57068,86.73744202,,42,5.514052955,3,2,5.57068,30.40969001
7,2024,0,2,2,2.70651,81.37368774,,43,0,2,2,2.70651,27.42982652
8,2024,0,0,2,0.44943,59.05874634,,44,0,0,2,0.44943,15.03263686
9,2024,0.07714428,0,1,3.15703,60.71482468,,45,0.195946471,0,1,3.15703,15.95268038
10,2024,5.11422205,0,0,3.53166,44.02497482,,46,12.99012401,0,0,3.53166,6.680541567
11,2024,10.97472954,1,0,6.30835,34.58977509,,47,27.87581303,1,0,6.30835,1.438763939
0,2025,18.59799194,2,1,8.13287,39.11121368,,48,47.23889953,2,1,8.13287,3.950674267
1,2025,22.40583801,3,1,12.79602,45.99864578,,49,56.91082855,3,1,12.79602,7.777025433
2,2025,20.10998154,3,2,11.74645,55.86661911,,50,51.07935311,3,2,11.74645,13.25923284
3,2025,17.1200676,4,2,11.72684,66.00759888,,51,43.4849717,4,2,11.72684,18.89311049
4,2025,13.1200695,3,2,12.25831,79.80554199,,52,33.32497653,3,2,12.25831,26.55863444
5,2025,10.1200695,4,2,9.57019,83.69586945,,53,25.70497653,4,2,9.57019,28.71992747
6,2025,6.12047482,3,2,6.48392,71.43809509,,54,15.54600604,3,2,6.48392,21.91005283
7,2025,3.12048149,4,2,3.70065,77.00222778,,55,7.926022985,4,2,3.70065,25.00123766
8,2025,0,1,2,0.76768,64.41470337,,56,0,1,2,0.76768,18.00816854
9,2025,0,0,1,0.98621,55.36708832,,57,0,0,1,0.98621,12.98171573
10,2025,1.16178262,0,0,1.23638,51.31043243,,58,2.950927855,0,0,1.23638,10.72801802
11,2025,3.41817331,1,0,3.74294,49.95967102,,59,8.682160207,1,0,3.74294,9.977595011
0,2026,10.50829697,2,1,7.46545,42.05769348,,60,26.6910743,2,1,7.46545,5.587607489
